date,exercise_name,raw_exercise_name,top_weight_kg,top_reps,notes,source_row,import_status
2022-07-06,Bizepscurls,bizepscurls,15,12,,77,ok
2022-07-06,Trizeps Dips Kabelzug,Trizeps kabel,21,15,,78,ok
2022-07-06,Schulterdrücken,schulterdrücken,14,12,,79,ok
2022-07-06,Schrägbank Kurzhantel,schrägbank kurzhantel,12,20,,80,ok
2022-07-06,Butterfly,butterfly kabel,12,20,,81,ok
2022-07-06,Brustpresse,lower chest,70,10,,82,ok
2022-07-09,Bankdrücken,bankdrücken,70,10,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Schrägbankdrücken,schrägbankdrücken,50,8,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Bizepscurls,bizepscurls,15,12,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Trizeps Dips Kabelzug,Trizeps kabel,21,15,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Schulterdrücken,schulterdrücken,14,12,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Schrägbank Kurzhantel,schrägbank kurzhantel,12,20,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Butterfly,butterfly kabel,12,20,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Brustpresse,lower chest,70,10,Aus vorherigem vollständigem Workout vom 2022-07-06 übernommen,copied_from_2022-07-06,filled_from_previous_workout
2022-07-09,Latzug Kabel,latziehen kabelzug,57,12,Vorhandener Eintrag in unvollständigem Workout; restliche Übungen ergänzt; Fehlende Gewicht/Reps aus letztem vollständigem Latzug Kabel-Eintrag vom 2022-06-23 übernommen,83,actual_entry_in_incomplete_workout;filled_missing_weight_from_previous_exercise;filled_missing_reps_from_previous_exercise
