Übung,top wiederholungen,top Gewicht(Summe),,
Bizeps SZ ,10,15,,
butterfly maschine,10,60,,
rotatoren,,,,
,,,,
Bankdrücken ,12,60,10.07.2025,
rudern kabel ,12,55,,
latziehen kabel,8,60,,
rückenstrecker,,,,
Trizeps kabel ,12,"17,5",,
Bizeps SZ ,12,15,,
,,,,
latziehen kabel ,10,60,13.07.2025,
bankdrücken ,7,65,,
rückenstrecker ,,,,
Trizeps kabel ,12,15,,
rudern langhantel,12,60,(fast Blackout),
bauchmaschine,12,70,,
,,,,
rudern kabel,12,65,15.07.2025,
bankdrücken,9,65,,
latziehen kabel,10,52,scheißmaschine,
rückenstrecker,,,,
Trizeps kabel,15,15,,
,,,,
bankdrücken,8,70,19.07.2025,
latziehen kabel,10,60,,
rückenstrecker ,,,,
Trizeps kabel,12,"17,5",,
Bizeps SZ ,12,15,,
seitheben vorgebeugt,10,8.5,,
,,,,
bankdrücken ,8,70,21.07.2025,
rudern kabel,10,65,,
latziehen kabel ,10,60,,
rückenstrecker,,,,
Trizeps kabel ,15,15,,
Bizeps SZ ,12,15,,
seitheben vorgebeugt ,10,"8,5",pro Seite,
rotatoren,10,4,,
,,,,
latziehen ,10,60,24.07.2025,
bankdrücken ,7,70,,
rückenstrecker,,,,
Trizeps kabel ,15,"17,5",,
Bizeps SZ ,12,20,,
seitheben vorgebeugt ,10,"8,5",,
,,,,
umgestellt auf 2er Split ,,,,
,,,,
latziehen,8,65,28.07.2025,
Trizeps kabel ,15,15,,
rudern kabel,10,60,,
rudern vorgebeugt,10,"8,5",,
,,,,
,,,,
Bankdrücken ,9,70,01.08.2025,
Bizeps SZ,12,20,,
bauchmaschine 40,,,,
schrägbank Kurzhantel ,12,"17,5",hantelgewicht,
schulterdrücken maschine,12,30,,
rotatoren,,,,
,,,,
latziehen kabel,10,60,05.08.2025,
rudern kabel,,65,,
rückenstrecker ,,,,
Trizeps Dips ,12,eigen,,
seitheben vorgebeugt ,12,"8,5",,
rotatoren,,,,
,,,,
bankdrücken ,8,70,07.08.2025,
schrägbank Kurzhantel ,12,"11,5",pro hantel,
Bizeps SZ ,8,20,ohne Stange ,
bauchmaschine 4,12,70,,
butterfly maschine,12,60,,
rotatoren ,,,,
,,,,
latziehen kabel ,10,60,13.08.2025,
rudern kabel,10,60,,
Trizeps kabel,15,15,,
Trizeps Dips ,10,86,körpergewicht,
rückenstrecker,,,,
seitheben vorgebeugt ,10,10,,
rotatoren,,,,
,,,,
bankdrücken ,12,60,15.08.2025,
butterfly maschine,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
latziehen kabel ,8,65,19.08.2025,
Trizeps Dips ,10,85,körper,
rudern vorgebeugt langhantel,10,60,,
beinbeuger,12,45,,
beinstrecker,12,45,,
Trizeps kabel ,,,,
,,,,
bankdrücken ,12,60,21.08.2025,
Bizeps SZ ,8,20,ohne Stange ,
bauchmaschine 4,12,70,,
butterfly maschine,12,60,,
rotatoren ,,,,
,,,,
latziehen kabel ,8,65,24.08.2025,
Trizeps Dips ,10,85,,
rudern vorgebeugt langhantel,10,60,,
beinbeuger,12,45,,
beinstrecker,12,45,,
Trizeps kabel ,,,,
,,,,
Bulgarian squats,12,60,26.08.2025,
latziehen kabel ,10,65,,
Bizeps schrägbank,12,11,,
rudern kabel ,12,65,,
Trizeps Dips ,10,85,,
,,,,
bankdrücken ,12,50,29.08.2025,
latziehen,10,65,,
dips,10,85,,
rudern vorgebeugt ,12,10,,
Bizeps SZ ,10,20,ohne stange,
rotatoren,,,,
beinstrecker ,12,50,,
,,,,
bankdrücken ,12,60,,
latziehen kabel ,10,65,3 topsets,
dips,10,85,,
beinbeuger,12,40,,
beinstrecker ,12,"47,5",,
rudern kabel,10,70,,
butterfly ,12,45,,
rotatoren,,,,
dehnen,,,,
,,,,
latziehen kabel ,10,65,08.09.2025,
bankdrücken ,12,50,,
rudern kabel ,10,65,,
dips,12,85,,
rudern vorgebeugt ,12,8,,
Bizeps schrägbank ,12,10,,
butterflys,12,59,,
rotatoren ,,,,
,,,,
bankdrücken ,12,50,10.09.2025,
latziehen kabel ,12,65,,
Trizeps kabel,12,"17,5",,
butterfly reverse,,,,
,,,,
,,,22.09.2025,
latziehen kabel ,10,59,schwergängige maschine,
Trizeps kabel,15,15,,
butterfly maschine,12,52,,
Bizeps SZ ,12,15,ohne stange,
rudern vorgebeugt ,10,"8,5",,
rudern kabel,12,60,,
dehnen,,,,
rotstoren,,,,
,,,,
latziehen kabel ,10,60,24.09.2025,
bankdrücken ,12,60,"einfach, Schulter knackt leicht ",
Trizeps Dips ,10,85,,
rudern kabel,12,65,,
beinstrecker,12,40,,
preacher curls,10,15,ohne stange,
rotatoren,,,,
,,,,
rudern Maschine 9,12,35,26.09.2025,
bankdrücken ,12,60,,
Trizeps kabel ,15,15,,
latziehen kabel ,10,60,2 topsets,
rückenstrecker,,,,
,,,,
latziehen kabel ,10,60,06.10.2025,
bankdrücken ,12,50,nur 1 Satz,
Trizeps kabel ,15,15,,
Bizeps SZ,10,15,,
rudern kabel ,12,65,,
beinstrecker ,,,,
beinbeuger,,,,
Trizeps Dips ,,,,
,,,,
latziehen kabel ,8,65,10.10.2025,
Trizeps kabel ,12,"17,5",,
bankdrücken ,10,40,,
rudern kabel ,12,65,,
butterfly maschine,12,59,,
beinstrecker,12,55,,
beinbeuger ,12,40,,
preacher curls ,10,15,,
rückenstrecker,,,,
,,,,
latziehen kabel ,7,65,13.10.2025,
Trizeps kabel ,15,15,,
butterfly maschine ,12,59,,
Rückenstrecker,15,85,,
Bizeps SZ ,,15,,
seitheben vorgebeugt ,,"8,5",pro seite,
,,,,
latziehen kabel ,8,60,20.10.2025,
Trizeps kabel ,12,"17,5",,
butterfly ,12,59,,
rückenstrecker,15,85,,
beinbeuger,12,40,,
beinstrecker,12,50,,
,,,,
rudern kabel ,8,70,22.10.2025,
